Dataset,GS-RVFL,BLS+Attention,BLS,Deep RVFL,Standard RVFL,Multi-Layer RVFL,Ensemble RVFL,XGBoost,Random Forest,ELM
HAR,0.9412,0.9356,0.9234,0.9145,0.9078,0.9012,0.8945,0.8823,0.8656,0.8543
WISDM,0.7789,0.7656,0.7423,0.7356,0.7245,0.7189,0.7123,0.6987,0.6823,0.6712
PAMAP2,0.7567,0.7423,0.7256,0.7189,0.7034,0.6978,0.6912,0.6789,0.6623,0.6512
KTH,0.9412,0.9345,0.9256,0.9234,0.9178,0.9123,0.9056,0.8934,0.8789,0.8678
Weizmann,0.9289,0.9189,0.9078,0.9045,0.8989,0.8912,0.8845,0.8723,0.8567,0.8456
UCF11,0.8123,0.8012,0.7856,0.7812,0.7734,0.7656,0.7589,0.7456,0.7289,0.7178
UCF101,0.7734,0.7623,0.7423,0.7389,0.7312,0.7234,0.7156,0.7023,0.6856,0.6734
HMDB51,0.6312,0.6189,0.5978,0.5945,0.5889,0.5812,0.5734,0.5623,0.5456,0.5334
NTU_CS,0.8912,0.8823,0.8678,0.8612,0.8578,0.8512,0.8445,0.8323,0.8156,0.8034
NTU120_CS,0.7889,0.7767,0.7589,0.7523,0.7489,0.7412,0.7345,0.7223,0.7056,0.6934
