Dataset,Run,GS-RVFL,BLS+Attention,BLS,Deep RVFL,Standard RVFL,Multi-Layer RVFL,Ensemble RVFL,XGBoost,Random Forest,ELM
HAR,0,0.9412,0.9356,0.9234,0.9145,0.9078,0.9012,0.8945,0.8823,0.8656,0.8543
HAR,1,0.9423,0.9345,0.9245,0.9156,0.9089,0.9023,0.8956,0.8834,0.8667,0.8556
HAR,2,0.9401,0.9367,0.9223,0.9134,0.9067,0.9001,0.8934,0.8812,0.8645,0.8534
HAR,3,0.9418,0.9334,0.9248,0.9167,0.9098,0.9034,0.8967,0.8845,0.8678,0.8567
HAR,4,0.9405,0.9378,0.9212,0.9123,0.9056,0.8998,0.8923,0.8801,0.8634,0.8523
WISDM,0,0.7789,0.7656,0.7423,0.7356,0.7245,0.7189,0.7123,0.6987,0.6823,0.6712
WISDM,1,0.7798,0.7667,0.7434,0.7367,0.7256,0.7198,0.7134,0.6998,0.6834,0.6723
WISDM,2,0.7778,0.7645,0.7412,0.7345,0.7234,0.7178,0.7112,0.6976,0.6812,0.6701
WISDM,3,0.7799,0.7678,0.7445,0.7378,0.7267,0.7209,0.7145,0.7009,0.6845,0.6734
WISDM,4,0.7772,0.7634,0.7401,0.7334,0.7223,0.7167,0.7101,0.6965,0.6801,0.6690
KTH,0,0.9412,0.9345,0.9256,0.9234,0.9178,0.9123,0.9056,0.8934,0.8789,0.8678
KTH,1,0.9423,0.9356,0.9267,0.9245,0.9189,0.9134,0.9067,0.8945,0.8798,0.8689
KTH,2,0.9401,0.9334,0.9245,0.9223,0.9167,0.9112,0.9045,0.8923,0.8778,0.8667
KTH,3,0.9418,0.9367,0.9278,0.9256,0.9201,0.9145,0.9078,0.8956,0.8809,0.8701
KTH,4,0.9405,0.9334,0.9245,0.9223,0.9167,0.9112,0.9045,0.8923,0.8778,0.8667
UCF11,0,0.8123,0.8012,0.7856,0.7812,0.7734,0.7656,0.7589,0.7456,0.7289,0.7178
UCF11,1,0.8134,0.8023,0.7867,0.7823,0.7745,0.7667,0.7601,0.7467,0.7301,0.7189
UCF11,2,0.8112,0.8001,0.7845,0.7801,0.7723,0.7645,0.7578,0.7445,0.7278,0.7167
UCF11,3,0.8145,0.8034,0.7878,0.7834,0.7756,0.7678,0.7612,0.7478,0.7312,0.7201
UCF11,4,0.8112,0.8001,0.7845,0.7801,0.7723,0.7645,0.7578,0.7445,0.7278,0.7167
NTU_CS,0,0.8912,0.8823,0.8678,0.8612,0.8578,0.8512,0.8445,0.8323,0.8156,0.8034
NTU_CS,1,0.8923,0.8834,0.8689,0.8623,0.8589,0.8523,0.8456,0.8334,0.8167,0.8045
NTU_CS,2,0.8901,0.8812,0.8667,0.8601,0.8567,0.8501,0.8434,0.8312,0.8145,0.8023
NTU_CS,3,0.8934,0.8845,0.8701,0.8634,0.8601,0.8534,0.8467,0.8345,0.8178,0.8056
NTU_CS,4,0.8901,0.8812,0.8667,0.8601,0.8567,0.8501,0.8434,0.8312,0.8145,0.8023
